descrizione;città;via;provincia;cap;telefono;latitudine;longitudine
CAF UIL PALERMO PIAZZA OTTAVIO ZIINO;Palermo;Piazza Ottavio Ziino 34;PA;90145;0917476955;38.128500;13.348000
CENTRO SERVIZI UIL PUGLIA SRL;Sannicandro di Bari;Corso Vittorio Emanuele III 73;BA;70028;0803881137;41.000000;16.800000
CAF UIL PALERMO UIL TRASPORTI;Palermo;Via Principe di Belmonte 55;PA;90139;;38.130000;13.360000
CAF UIL;Napoli;Via G. Ferraris 9;NA;80142;081284829;40.860000;14.275000
SEDE CAF VERONA;Verona;Via Rotari 2;VR;37133;045528072;45.436225;11.0148326
CAF UIL MESSINA GIOSTRA;Messina;Viale Giostra 16-17;ME;98152;;38.200000;15.550000
